date,open,high,low,close,volume,change_rate
2025-07-10,4750,4960,4482,4520,8779479,
2025-07-11,4495,4550,4355,4515,1260801,-0.11061946902654868
2025-07-14,4500,4515,4430,4465,482123,-1.1074197120708749
2025-07-15,4445,4570,4435,4565,502721,2.2396416573348263
2025-07-16,4565,4570,4490,4530,172186,-0.7667031763417306
2025-07-17,4510,4540,4495,4530,152308,0.0
2025-07-18,4530,4560,4490,4505,171813,-0.5518763796909493
2025-07-21,4505,4505,4465,4470,92603,-0.776914539400666
2025-07-22,4480,4480,4420,4445,190979,-0.5592841163310962
2025-07-23,4445,4470,4430,4465,57822,0.44994375703037126
2025-07-24,4460,4480,4455,4465,81454,0.0
2025-07-25,4465,4490,4445,4485,76674,0.4479283314669653
2025-07-28,4470,4475,4445,4450,65950,-0.7803790412486065
2025-07-29,4450,4450,4410,4415,78707,-0.7865168539325843
2025-07-30,4410,4440,4405,4420,58470,0.11325028312570783
2025-07-31,4420,4430,4405,4410,43759,-0.22624434389140274
2025-08-01,4410,4425,4350,4350,59040,-1.3605442176870748
2025-08-04,4350,4370,4345,4350,52899,0.0
2025-08-05,4350,4385,4340,4360,70714,0.22988505747126436
2025-08-06,4360,4375,4345,4350,33331,-0.22935779816513763
2025-08-07,4350,4367,4330,4340,57063,-0.22988505747126436
2025-08-08,4330,4415,4325,4395,71158,1.2672811059907834
2025-08-11,4420,4485,4405,4445,151541,1.1376564277588168
2025-08-12,4450,4580,4435,4540,294171,2.1372328458942635
2025-08-13,4520,4645,4485,4645,301930,2.3127753303964758
2025-08-14,4620,4860,4595,4690,1971656,0.9687836383207751
2025-08-18,4670,4670,4430,4480,497829,-4.477611940298507
2025-08-19,4520,4520,4430,4470,1287577,-0.2232142857142857
2025-08-20,4470,4470,4340,4350,286872,-2.684563758389262
2025-08-21,4370,4390,4350,4380,29887,0.6896551724137931
2025-08-22,4385,4420,4360,4400,436450,0.45662100456621
2025-08-25,4400,4425,4380,4415,529529,0.3409090909090909
2025-08-26,4400,4400,4340,4340,373033,-1.698754246885617
2025-08-27,4350,4355,4315,4340,134287,0.0
2025-08-28,4305,4340,4300,4340,58225,0.0
2025-08-29,4345,4350,4325,4350,55515,0.2304147465437788
2025-09-01,4350,4350,4325,4330,39818,-0.45977011494252873
2025-09-02,4320,4350,4315,4320,53154,-0.23094688221709006
2025-09-03,4320,4340,4295,4335,75653,0.3472222222222222
2025-09-04,4330,4330,4295,4300,74042,-0.8073817762399077
2025-09-05,4300,4300,4275,4280,89011,-0.46511627906976744
2025-09-08,4280,4300,4255,4275,395751,-0.11682242990654204
2025-09-09,4295,4350,4275,4350,50422,1.7543859649122806
2025-09-10,4320,4355,4310,4310,49634,-0.9195402298850575
2025-09-11,4340,4350,4310,4315,69719,0.11600928074245939
2025-09-12,4385,4385,4300,4330,57517,0.34762456546929316
2025-09-15,4330,4375,4320,4375,61492,1.0392609699769053
2025-09-16,4375,4385,4355,4365,52441,-0.2285714285714286
2025-09-17,4360,4365,4340,4350,50162,-0.3436426116838488
2025-09-18,4350,4395,4335,4355,62125,0.11494252873563218
2025-09-19,4360,4385,4335,4345,43861,-0.2296211251435132
2025-09-22,4350,4360,4325,4360,44382,0.34522439585730724
2025-09-23,4360,4365,4330,4365,61279,0.11467889908256881
2025-09-24,4350,4370,4315,4345,55033,-0.45819014891179843
2025-09-25,4345,4400,4345,4400,98369,1.2658227848101267
2025-09-26,4390,4410,4350,4375,71204,-0.5681818181818182
2025-09-29,4375,4435,4375,4430,113720,1.2571428571428571
2025-09-30,4420,4430,4387,4430,38842,0.0
2025-10-01,4430,4515,4410,4500,153709,1.580135440180587
2025-10-02,4500,4525,4400,4450,110288,-1.1111111111111112
2025-10-10,4450,4465,4415,4460,48848,0.22471910112359553
2025-10-13,4460,4475,4405,4460,70450,0.0
2025-10-14,4460,4460,4415,4450,74981,-0.2242152466367713
2025-10-15,4430,4450,4400,4415,39679,-0.7865168539325843
2025-10-16,4415,4490,4400,4450,52973,0.7927519818799547
2025-10-17,4450,4450,4420,4445,39996,-0.11235955056179776
2025-10-20,4420,4465,4420,4450,10796,0.11248593925759282
2025-10-21,4450,4450,4425,4440,41149,-0.22471910112359553
2025-10-22,4470,4470,4420,4450,30988,0.22522522522522523
2025-10-23,4450,4455,4425,4455,38398,0.11235955056179776
2025-10-24,4465,4465,4435,4465,29373,0.22446689113355783
2025-10-27,4465,4475,4445,4465,19877,0.0
2025-10-28,4455,4480,4445,4480,29904,0.33594624860022393
2025-10-29,4460,4475,4445,4460,24467,-0.4464285714285714
2025-10-30,4460,4490,4440,4440,22830,-0.4484304932735426
2025-10-31,4475,4475,4420,4450,23720,0.22522522522522523
2025-11-03,4450,4475,4400,4420,46344,-0.6741573033707865
2025-11-04,4420,4435,4410,4435,13033,0.3393665158371041
2025-11-05,4445,4445,4400,4425,44414,-0.2254791431792559
2025-11-06,4425,4425,4360,4375,44224,-1.1299435028248588
2025-11-07,4400,4400,4360,4400,24719,0.5714285714285714
2025-11-10,4420,4420,4395,4415,16502,0.3409090909090909
2025-11-11,4425,4485,4405,4475,33743,1.3590033975084939
