date,open,high,low,close,volume,change_rate
2021-08-06,53700,69800,51000,69800,59402373,
2021-08-09,69800,89100,69000,78500,44833696,12.464183381088825
2021-08-10,81800,85600,68000,71400,26495122,-9.044585987261145
2021-08-11,71200,77500,68100,74400,21592734,4.201680672268908
2021-08-12,73600,75400,72700,73800,5878196,-0.8064516129032258
2021-08-13,73500,78600,73500,76600,10907993,3.7940379403794036
2021-08-17,78100,88300,77500,87400,24272931,14.099216710182768
2021-08-18,89600,94400,83800,84500,21008684,-3.318077803203661
2021-08-19,87300,92300,86400,92000,13606690,8.875739644970414
2021-08-20,92800,94000,88600,91000,15815275,-1.0869565217391304
2021-08-23,91900,92800,87900,89800,4868621,-1.3186813186813187
2021-08-24,90000,90000,84700,85400,6553145,-4.8997772828507795
2021-08-25,84500,84600,81500,82100,6086152,-3.864168618266979
2021-08-26,83400,85300,82100,83400,4255489,1.5834348355663823
2021-08-27,82500,84400,82500,83800,2174014,0.4796163069544364
2021-08-30,84000,84300,81600,81900,1782049,-2.267303102625298
2021-08-31,81000,83900,80900,83900,1768789,2.442002442002442
2021-09-01,83800,88900,82900,88800,6376407,5.8402860548271756
2021-09-02,81800,83600,81000,81900,22859096,-7.77027027027027
2021-09-03,82900,83000,80200,80800,3987547,-1.3431013431013432
2021-09-06,77000,78400,76000,77400,5252682,-4.207920792079208
2021-09-07,77300,77300,72600,73000,6001690,-5.684754521963824
2021-09-08,73400,75800,71400,72300,5849714,-0.9589041095890412
2021-09-09,71300,73000,70300,72000,5748242,-0.4149377593360996
2021-09-10,71000,72400,68100,68900,6750339,-4.305555555555555
2021-09-13,67800,67800,64500,64600,4628803,-6.2409288824383164
2021-09-14,63600,72300,63300,69700,10421448,7.894736842105263
2021-09-15,70100,73200,69000,69000,5077664,-1.0043041606886656
2021-09-16,69900,70000,66700,67100,2452019,-2.753623188405797
2021-09-17,67100,68600,65000,68000,2461251,1.3412816691505216
2021-09-23,66900,67200,66200,66400,1281700,-2.3529411764705883
2021-09-24,67100,69500,67000,69000,2125450,3.91566265060241
2021-09-27,69000,69700,67500,69700,1323980,1.0144927536231882
2021-09-28,70100,71200,69300,70600,1906190,1.291248206599713
2021-09-29,69300,69800,68300,69300,1151274,-1.8413597733711047
2021-09-30,69000,69200,68000,68400,804698,-1.2987012987012987
2021-10-01,67800,67900,65500,65500,1363624,-4.239766081871345
2021-10-05,63600,64400,59800,60000,3119650,-8.396946564885496
2021-10-06,60200,60900,57100,58000,2152044,-3.3333333333333335
2021-10-07,58200,60400,58200,60000,1664418,3.4482758620689653
2021-10-08,60100,60100,57000,57000,2221905,-5.0
2021-10-12,55800,56300,54100,55300,2807832,-2.982456140350877
2021-10-13,55200,56900,55200,55900,1242641,1.0849909584086799
2021-10-14,56200,59000,56100,59000,1626758,5.545617173524151
2021-10-15,60300,60600,58100,60100,1870593,1.864406779661017
2021-10-18,60500,60600,58800,60000,902398,-0.16638935108153077
2021-10-19,60500,61800,60000,61300,1311776,2.166666666666667
2021-10-20,61300,62800,59300,59700,1812030,-2.6101141924959217
2021-10-21,60100,60800,59900,60200,690989,0.8375209380234505
2021-10-22,60300,60800,59900,60100,653922,-0.16611295681063123
2021-10-25,60300,60400,58900,59900,677825,-0.33277870216306155
2021-10-26,60300,61900,59900,61900,1088174,3.33889816360601
2021-10-27,61900,62800,61100,62000,971439,0.16155088852988692
2021-10-28,62300,65600,62100,64600,2673129,4.193548387096775
2021-10-29,64800,65200,62600,63100,1503557,-2.321981424148607
2021-11-01,63300,64400,63000,63900,958229,1.2678288431061806
2021-11-02,64200,64500,64000,64100,902143,0.3129890453834116
2021-11-03,64100,64100,59100,59400,4131208,-7.332293291731669
2021-11-04,59800,60700,59400,60000,1558376,1.0101010101010102
2021-11-05,58900,59000,57100,57200,2124636,-4.666666666666667
2021-11-08,52600,55900,52600,55600,4020446,-2.797202797202797
2021-11-09,55700,58200,55700,57000,1989453,2.5179856115107913
2021-11-10,56100,58700,56100,58600,1772959,2.807017543859649
2021-11-11,58400,59300,58000,59100,1131245,0.8532423208191127
2021-11-12,59100,62200,58700,62100,2896578,5.0761421319796955
2021-11-15,62300,63000,61000,62400,1337149,0.4830917874396135
2021-11-16,62400,62500,61100,62500,1108396,0.16025641025641024
2021-11-17,62600,63400,62000,63100,1335673,0.96
2021-11-18,63200,64600,63000,64500,1545025,2.218700475435816
2021-11-19,64600,65000,63400,65000,1301470,0.7751937984496124
2021-11-22,65000,65000,62500,64000,1244778,-1.5384615384615385
2021-11-23,63600,65300,63400,64900,1235612,1.40625
2021-11-24,65100,65600,64000,64700,1082435,-0.30816640986132515
2021-11-25,65000,68000,64500,67900,2780797,4.945904173106646
2021-11-26,68500,69300,66400,68200,2895073,0.4418262150220913
2021-11-29,66100,71000,65500,70300,3029305,3.0791788856304985
2021-11-30,70700,72300,63700,65600,7305640,-6.685633001422476
2021-12-01,65600,67200,64500,65200,1920674,-0.6097560975609756
2021-12-02,64800,65600,63800,65000,1049808,-0.3067484662576687
2021-12-03,65200,68100,64700,67500,1634554,3.8461538461538463
2021-12-06,67200,67900,65200,65700,1250833,-2.666666666666667
2021-12-07,65900,67900,65800,67500,1111423,2.73972602739726
2021-12-08,68100,68700,66900,67500,918679,0.0
2021-12-09,64400,65000,63600,64200,12816162,-4.888888888888889
2021-12-10,64500,65000,63100,63400,2403988,-1.2461059190031152
2021-12-13,63800,64500,63300,63400,1599879,0.0
2021-12-14,62700,63900,62700,63000,863297,-0.6309148264984227
2021-12-15,62800,63400,62400,62600,1286504,-0.6349206349206349
2021-12-16,63000,63200,62300,63100,951069,0.7987220447284344
2021-12-17,63000,64000,62400,63900,7191381,1.2678288431061806
2021-12-20,63200,63300,62000,62300,785490,-2.503912363067293
2021-12-21,62300,62700,60700,61400,918368,-1.4446227929373996
2021-12-22,61600,61800,60800,60900,627279,-0.8143322475570033
2021-12-23,61000,61100,59700,60500,1010606,-0.6568144499178982
2021-12-24,60000,60800,60000,60200,570849,-0.49586776859504134
2021-12-27,60200,60200,59200,59300,692148,-1.495016611295681
2021-12-28,59000,60300,58800,60300,859558,1.6863406408094435
2021-12-29,60300,60400,59500,59800,506443,-0.8291873963515755
2021-12-30,59900,59900,59000,59000,565051,-1.3377926421404682
2022-01-03,59000,59800,58900,59100,716944,0.1694915254237288
2022-01-04,59100,59200,57200,57300,1221416,-3.0456852791878175
2022-01-05,57400,57400,55000,55600,2068038,-2.966841186736475
2022-01-06,55200,56700,54600,56000,2263007,0.7194244604316548
2022-01-07,55600,56200,55000,55000,1180315,-1.7857142857142856
2022-01-10,54200,54400,50600,51100,4158580,-7.090909090909091
2022-01-11,50900,51200,49200,49350,3785349,-3.4246575342465753
2022-01-12,49500,50400,49200,49300,3316544,-0.10131712259371835
2022-01-13,49450,50200,48800,48850,1860929,-0.9127789046653144
