date,open,high,low,close,volume,change_rate
2022-04-28,41600,45500,41000,43450,184729,
2022-04-29,43750,45250,43600,44850,33628,3.222094361334868
2022-05-02,44800,44800,43750,44300,17659,-1.2263099219620959
2022-05-03,43500,43650,42250,42300,27285,-4.514672686230249
2022-05-04,42600,43100,42250,42800,9533,1.1820330969267139
2022-05-06,43050,43050,41200,42100,8886,-1.6355140186915886
2022-05-09,41800,41800,40650,41000,11832,-2.6128266033254155
2022-05-10,40650,41450,39850,41000,6816,0.0
2022-05-11,40400,41000,40000,41000,4831,0.0
2022-05-12,41000,41100,40200,40300,7641,-1.707317073170732
2022-05-13,39900,41250,39900,40700,2478,0.9925558312655087
2022-05-16,40700,41000,40200,40200,2428,-1.2285012285012284
2022-05-17,40200,41000,39950,40200,2929,0.0
2022-05-18,41000,41000,39450,39650,8399,-1.3681592039800996
2022-05-19,39000,40200,38100,38450,8710,-3.0264817150063053
2022-05-20,39750,39750,37800,38200,12130,-0.6501950585175552
2022-05-23,38200,38200,37750,38000,2711,-0.5235602094240838
2022-05-24,38900,38900,38200,38350,5313,0.9210526315789472
2022-05-25,38400,39500,38050,39300,9126,2.4771838331160363
2022-05-26,38800,39850,38800,39100,1654,-0.5089058524173028
2022-05-27,39800,40000,39100,39500,3265,1.0230179028132993
2022-05-30,39600,40050,39600,40000,1970,1.2658227848101267
2022-05-31,40000,40550,39700,40200,6343,0.5
2022-06-02,40200,40300,39050,39150,3359,-2.6119402985074625
2022-06-03,39250,39450,38800,39300,3314,0.38314176245210724
2022-06-07,39300,39300,38000,38400,3067,-2.2900763358778624
2022-06-08,38350,39900,38200,38350,1893,-0.13020833333333331
2022-06-09,38350,38600,37950,38250,2223,-0.2607561929595828
2022-06-10,38150,39000,38100,38650,2357,1.045751633986928
2022-06-13,37700,39200,36900,37300,5133,-3.4928848641655885
2022-06-14,36400,37250,36000,37000,4929,-0.8042895442359249
2022-06-15,37800,37800,35800,36250,4525,-2.027027027027027
2022-06-16,37850,37850,36000,36000,3082,-0.6896551724137931
2022-06-17,34450,36000,34450,35850,4844,-0.4166666666666667
2022-06-20,35900,35900,33950,34850,4746,-2.789400278940028
2022-06-21,35000,35450,34250,34850,4038,0.0
2022-06-22,34850,34850,33600,33650,4145,-3.443328550932568
2022-06-23,33650,33650,32400,32900,3635,-2.2288261515601784
2022-06-24,33250,35000,32900,34200,1966,3.951367781155015
2022-06-27,34900,35500,33500,34900,3053,2.046783625730994
2022-06-28,35300,35350,34400,34900,1792,0.0
2022-06-29,34900,35150,34000,34850,2115,-0.14326647564469913
2022-06-30,34850,35750,34600,35150,7829,0.860832137733142
2022-07-01,35150,36900,34600,35400,5750,0.7112375533428165
2022-07-04,35400,35400,33750,34250,2005,-3.248587570621469
2022-07-05,33900,34850,33900,34250,3101,0.0
2022-07-06,34900,34900,33750,33750,1203,-1.4598540145985401
2022-07-07,33750,34300,33750,34150,2136,1.1851851851851851
2022-07-08,34500,34500,34050,34250,2450,0.29282576866764276
2022-07-11,34300,34450,33800,34200,1042,-0.145985401459854
2022-07-12,33800,34450,33250,33600,1194,-1.7543859649122806
2022-07-13,33550,33900,33200,33500,1309,-0.2976190476190476
2022-07-14,33500,33850,33250,33300,942,-0.5970149253731344
2022-07-15,34900,34950,33050,33250,1021,-0.15015015015015015
2022-07-18,33400,34000,31750,33600,1559,1.0526315789473684
2022-07-19,33600,34050,32550,33800,986,0.5952380952380952
2022-07-20,34150,34200,33550,34000,2465,0.591715976331361
2022-07-21,34450,34450,33750,34200,1163,0.5882352941176471
2022-07-22,34000,34300,33950,34000,637,-0.5847953216374269
2022-07-25,33650,34150,33650,33750,1026,-0.7352941176470588
2022-07-26,33750,34000,33600,33900,812,0.4444444444444444
2022-07-27,33550,34000,33500,34000,769,0.2949852507374631
2022-07-28,34200,34300,33300,33700,2493,-0.8823529411764706
2022-07-29,33900,33950,33700,33900,2073,0.5934718100890208
2022-08-01,33000,34000,33000,33750,1307,-0.4424778761061947
2022-08-02,34400,34400,33700,33900,1152,0.4444444444444444
2022-08-03,33850,33950,33750,33900,1422,0.0
2022-08-04,34400,34400,33750,33900,2620,0.0
2022-08-05,34000,34700,33850,34000,11530,0.2949852507374631
2022-08-08,34000,34550,33850,34400,2336,1.1764705882352942
2022-08-09,34400,34600,32900,34400,2435,0.0
2022-08-10,34700,35000,34600,34700,4414,0.872093023255814
2022-08-11,35050,35050,34850,34850,1696,0.43227665706051877
2022-08-12,34850,35900,34850,35700,3009,2.4390243902439024
2022-08-16,35750,35850,35400,35400,1315,-0.8403361344537815
2022-08-17,35200,35400,35000,35000,2361,-1.1299435028248588
2022-08-18,34750,34900,34500,34800,1338,-0.5714285714285714
2022-08-19,35000,35600,34000,34800,1173,0.0
2022-08-22,34000,34400,34000,34000,1282,-2.2988505747126435
2022-08-23,33600,33950,33300,33700,1376,-0.8823529411764706
2022-08-24,33900,33950,33550,33950,1179,0.741839762611276
2022-08-25,33950,34050,33850,33850,1141,-0.29455081001472755
2022-08-26,33850,34400,33800,33950,1101,0.29542097488921715
2022-08-29,33750,33750,32950,33100,1223,-2.503681885125184
2022-08-30,32650,33950,32650,33300,883,0.6042296072507553
2022-08-31,33300,34000,33300,33850,563,1.6516516516516515
2022-09-01,33850,34150,33000,34100,1450,0.7385524372230428
2022-09-02,34300,34800,34100,34400,2213,0.8797653958944283
2022-09-05,35050,35050,33950,34450,588,0.14534883720930233
2022-09-06,34650,34650,34000,34350,652,-0.29027576197387517
2022-09-07,34150,35150,33350,33950,594,-1.1644832605531297
2022-09-08,34500,34500,33650,34000,555,0.14727540500736377
2022-09-13,34450,34450,33950,34050,992,0.14705882352941177
2022-09-14,33850,33950,32500,33750,646,-0.881057268722467
2022-09-15,33800,34100,33600,33700,563,-0.14814814814814814
2022-09-16,33050,33650,33000,33050,1141,-1.9287833827893175
2022-09-19,33100,33100,32500,32500,915,-1.6641452344931922
2022-09-20,32650,33500,32500,33100,1840,1.8461538461538463
2022-09-21,32950,33450,32800,33200,1220,0.3021148036253776
2022-09-22,32300,32900,31950,32350,1799,-2.5602409638554215
2022-09-23,32350,32400,31100,31100,1589,-3.863987635239567
2022-09-26,30900,30900,29300,29700,2876,-4.501607717041801
2022-09-27,29450,29700,28750,29450,2978,-0.8417508417508417
2022-09-28,29600,29600,28500,28600,1989,-2.886247877758913
2022-09-29,28750,30350,28600,28600,1294,0.0
2022-09-30,28000,28400,27450,27700,3927,-3.146853146853147
2022-10-04,27600,28500,27600,28450,3561,2.707581227436823
2022-10-05,28450,28450,27700,27800,3336,-2.2847100175746924
2022-10-06,27650,28500,27350,28400,3020,2.158273381294964
2022-10-07,28500,28500,27750,28450,672,0.17605633802816903
2022-10-11,27400,27950,27000,27450,1573,-3.5149384885764503
2022-10-12,27450,27600,26950,27600,2364,0.546448087431694
2022-10-13,27600,27600,26350,26350,2182,-4.528985507246377
2022-10-14,26350,27350,26350,27150,4333,3.0360531309297913
2022-10-17,26650,27400,26650,26850,390,-1.1049723756906076
2022-10-18,26950,28500,26900,28350,3849,5.58659217877095
2022-10-19,27850,28500,27450,27450,3777,-3.1746031746031744
2022-10-20,27450,27800,26500,27800,1616,1.2750455373406193
2022-10-21,26750,27700,26600,27250,1015,-1.9784172661870503
2022-10-24,27350,28300,27350,27750,2867,1.834862385321101
2022-10-25,27800,27800,27250,27700,1700,-0.18018018018018017
2022-10-26,27100,27400,26750,26950,1712,-2.707581227436823
2022-10-27,26500,28500,26500,27500,2161,2.0408163265306123
2022-10-28,27500,27900,27200,27500,1246,0.0
2022-10-31,27300,27900,27050,27150,2166,-1.2727272727272727
2022-11-01,27150,27550,26700,27350,1480,0.7366482504604052
2022-11-02,27150,27600,27150,27500,865,0.5484460694698354
2022-11-03,27050,27500,27000,27400,1504,-0.36363636363636365
2022-11-04,27500,27500,27050,27400,1127,0.0
2022-11-07,27500,28300,27400,28250,2056,3.102189781021898
2022-11-08,27750,28550,27750,28250,2565,0.0
2022-11-09,28450,28450,27750,28250,1756,0.0
2022-11-10,27800,28350,27650,28000,1060,-0.8849557522123894
2022-11-11,28500,28850,28350,28800,3940,2.857142857142857
2022-11-14,28800,29150,28500,28700,941,-0.3472222222222222
2022-11-15,29000,29250,28600,29250,1511,1.9163763066202089
2022-11-16,28950,29350,28950,29250,2390,0.0
2022-11-17,29300,29450,28750,28850,1726,-1.3675213675213675
2022-11-18,29000,29550,28850,29150,4007,1.0398613518197575
2022-11-21,28800,29150,28750,28900,609,-0.8576329331046313
2022-11-22,28900,29650,28700,29500,5587,2.0761245674740483
2022-11-23,29750,29750,28900,29450,2143,-0.1694915254237288
2022-11-24,29250,29450,29150,29450,2132,0.0
2022-11-25,29000,29650,29000,29250,2222,-0.6791171477079796
2022-11-28,28950,29300,28650,28950,2015,-1.0256410256410255
2022-11-29,28950,29000,28550,28850,2971,-0.3454231433506045
2022-11-30,28850,29600,28850,29450,2617,2.079722703639515
2022-12-01,29700,30200,29550,29750,3639,1.0186757215619695
2022-12-02,29300,29950,29300,29650,1788,-0.33613445378151263
2022-12-05,29700,29850,29300,29550,1603,-0.33726812816188867
2022-12-06,29650,29650,29150,29150,693,-1.353637901861252
2022-12-07,28850,29000,28450,28700,721,-1.5437392795883362
2022-12-08,28700,28700,28350,28350,1153,-1.2195121951219512
