date,open,high,low,close,volume,change_rate
2023-01-31,7280,9460,7280,9460,98108,
2023-02-01,12290,12290,11230,12290,1480577,29.915433403805498
2023-02-02,14120,14800,11800,12500,3370198,1.7087062652563059
2023-02-03,12050,16250,11820,16250,3594250,30.0
2023-02-06,17170,21100,15500,21100,2306424,29.846153846153843
2023-02-07,24100,27400,24100,27400,838402,29.85781990521327
2023-02-08,32400,33500,27200,28700,2386526,4.744525547445255
2023-02-09,30200,31000,25600,27400,1248278,-4.529616724738676
2023-02-10,26100,26900,23000,23650,725041,-13.686131386861314
2023-02-13,23050,24400,21750,23750,487939,0.42283298097251587
2023-02-14,23450,25650,22550,23000,854294,-3.1578947368421053
2023-02-15,22800,23700,21050,21400,429076,-6.956521739130435
2023-02-16,21250,22200,20450,21000,281859,-1.8691588785046727
2023-02-17,21550,24400,20900,21300,636215,1.4285714285714286
2023-02-20,20800,21050,19800,19970,171722,-6.244131455399061
2023-02-21,20500,22950,20150,21400,530494,7.160741111667502
2023-02-22,20650,21400,20000,21350,191737,-0.23364485981308408
2023-02-23,22550,23750,20450,21400,449605,0.234192037470726
2023-02-24,20800,21300,20200,20400,151473,-4.672897196261682
2023-02-27,19900,19900,17910,17910,204639,-12.205882352941176
2023-02-28,18070,23250,17710,23250,2203471,29.81574539363484
2023-03-02,24300,26050,22100,23900,2199094,2.795698924731183
2023-03-03,22850,24500,21650,21650,696510,-9.414225941422593
2023-03-06,21000,21300,19850,19850,287594,-8.314087759815243
2023-03-07,18500,18500,17480,17480,142536,-11.939546599496222
2023-03-08,17080,18000,16560,17310,107478,-0.9725400457665904
2023-03-09,17000,17350,16450,16480,54428,-4.7949162333911035
2023-03-10,17070,17070,15830,16200,62337,-1.6990291262135921
2023-03-13,15600,15600,15000,15030,73278,-7.222222222222221
2023-03-14,14630,14630,14030,14220,66486,-5.389221556886228
2023-03-15,14760,14760,14350,14400,35866,1.2658227848101267
2023-03-16,14000,14000,13310,13630,60153,-5.347222222222222
2023-03-17,13950,14670,13690,14150,55591,3.815113719735877
2023-03-20,13800,14020,13800,13820,35252,-2.3321554770318023
2023-03-21,14070,14070,13820,13850,20345,0.21707670043415342
2023-03-22,13850,13850,13010,13160,38971,-4.981949458483754
2023-03-23,12840,12840,12100,12220,76641,-7.142857142857142
2023-03-24,12530,13040,12530,12650,57614,3.518821603927987
2023-03-27,12650,12650,12180,12290,28780,-2.8458498023715415
2023-03-28,12440,12440,11900,12100,22232,-1.545972335231896
2023-03-29,11950,12300,11950,11990,21012,-0.9090909090909091
2023-03-30,12010,12010,11750,11850,23539,-1.1676396997497915
2023-03-31,11800,12930,11710,12890,37044,8.776371308016879
2023-04-03,12410,12600,12380,12500,27512,-3.0256012412723043
2023-04-04,12420,13290,12420,12820,30343,2.56
2023-04-05,12600,13800,12600,13580,68034,5.928237129485179
2023-04-06,13240,14250,13240,13510,100758,-0.5154639175257731
2023-04-07,13510,13510,12660,12660,47982,-6.291635825314581
2023-04-10,12620,12620,12140,12140,28327,-4.107424960505529
2023-04-11,12390,12440,12150,12440,22152,2.471169686985173
2023-04-12,12250,12310,12220,12220,17239,-1.7684887459807075
2023-04-13,12120,12120,11810,11820,25327,-3.273322422258593
2023-04-14,11740,12030,11740,11900,11784,0.676818950930626
2023-04-17,12000,12000,11710,11730,12593,-1.4285714285714286
2023-04-18,11900,11900,11500,11630,19247,-0.8525149190110828
2023-04-19,11510,11510,11440,11440,8809,-1.633705932932072
2023-04-20,11440,11440,11090,11090,15126,-3.0594405594405596
2023-04-21,10900,10900,10470,10470,23875,-5.5906221821460775
2023-04-24,10310,10610,10310,10410,15971,-0.5730659025787965
2023-04-25,10400,10400,10200,10240,11035,-1.633045148895293
2023-04-26,10130,10250,10100,10120,20656,-1.171875
2023-04-27,10080,10120,9920,10110,15699,-0.09881422924901186
2023-04-28,10260,10260,9800,9960,12402,-1.483679525222552
2023-05-02,9890,9970,9890,9970,9928,0.1004016064257028
2023-05-03,9940,9940,9800,9810,7466,-1.60481444332999
2023-05-04,9810,9960,9810,9950,7296,1.4271151885830784
2023-05-08,9980,9980,9700,9700,10562,-2.512562814070352
2023-05-09,9800,9800,9500,9500,9232,-2.0618556701030926
2023-05-10,9400,9890,9400,9450,11009,-0.5263157894736842
2023-05-11,9350,9560,9310,9310,10344,-1.4814814814814816
2023-05-12,9590,9590,9390,9410,5029,1.0741138560687433
2023-05-15,9250,9380,9010,9110,12597,-3.1880977683315623
2023-05-16,8970,8970,8920,8930,7013,-1.9758507135016465
2023-05-17,8800,8850,8760,8850,9220,-0.8958566629339306
2023-05-18,8770,9060,8770,8850,5465,0.0
2023-05-19,8810,9000,8810,8850,5602,0.0
2023-05-22,9200,11500,9200,11500,121259,29.943502824858758
2023-05-23,10980,10980,10220,10330,159193,-10.173913043478262
2023-05-24,10490,10490,10100,10100,39976,-2.2265246853823815
2023-05-25,10110,10310,9910,9910,19704,-1.881188118811881
2023-05-26,9940,9940,9610,9610,13966,-3.027245206861756
2023-05-30,9850,9850,9610,9620,10084,0.10405827263267431
2023-05-31,9750,9750,9400,9400,10465,-2.2869022869022873
2023-06-01,9370,9900,9280,9750,14304,3.723404255319149
2023-06-02,9870,9870,9610,9640,9778,-1.1282051282051282
2023-06-05,9600,9620,9510,9620,7022,-0.2074688796680498
2023-06-07,9560,9620,9550,9570,8011,-0.5197505197505198
2023-06-08,9520,9600,9490,9600,8776,0.3134796238244514
2023-06-09,9530,9640,9510,9610,12276,0.10416666666666667
2023-06-12,10400,12050,10400,10470,171899,8.949011446409989
2023-06-13,10160,10160,9980,9980,33231,-4.680038204393505
2023-06-14,9960,10140,9500,9620,12884,-3.6072144288577155
2023-06-15,9510,9800,9510,9800,11188,1.8711018711018712
2023-06-16,10290,10290,9650,9770,17201,-0.30612244897959184
2023-06-19,9660,9860,9660,9660,9064,-1.1258955987717503
2023-06-20,9660,9740,9560,9740,11185,0.8281573498964804
2023-06-21,9580,9640,9500,9540,11206,-2.0533880903490758
2023-06-22,9510,9900,9510,9610,15399,0.7337526205450734
2023-06-23,9570,9570,9400,9420,9916,-1.9771071800208115
2023-06-26,9130,9450,9130,9420,14687,0.0
2023-06-27,9260,9300,9240,9280,7810,-1.48619957537155
2023-06-28,9200,9200,9070,9080,9150,-2.1551724137931036
2023-06-29,9000,9000,8910,8980,2778,-1.1013215859030838
2023-06-30,9300,9300,8900,8960,3476,-0.22271714922048996
2023-07-03,9100,9100,8880,8900,3875,-0.6696428571428571
2023-07-04,8700,8700,8480,8590,29386,-3.48314606741573
