symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-01-31,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-02-28,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-03-29,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-04-30,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-05-31,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-06-28,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-07-31,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-08-30,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-09-30,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-10-31,77625000000.0,1250000
00341A,쌍용양회4우B,62100.0,,,,,0.0,0.0,,,2013-11-29,77625000000.0,1250000
00341A,쌍용양회4우B,,,,,,,,,,2013-12-31,,1250000
