symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-01-31,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-02-28,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-03-29,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-04-30,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-05-31,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-06-28,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-07-31,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-08-30,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-09-30,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-10-31,31280400000.0,3910050
00341D,쌍용양회5우B,8000.0,,,,,0.0,0.0,,,2013-11-29,31280400000.0,3910050
00341D,쌍용양회5우B,,,,,,,,,,2013-12-31,,3910050
