symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
023960,에쓰씨엔지니어링,2400.0,,0.5,,4829.0,100.0,4.17,,,2013-01-31,24424756800.0,10176982
023960,에쓰씨엔지니어링,2690.0,,0.56,,4829.0,100.0,3.72,,,2013-02-28,27376081580.0,10176982
023960,에쓰씨엔지니어링,2540.0,,0.53,,4829.0,100.0,3.94,,,2013-03-29,25849534280.0,10176982
023960,에쓰씨엔지니어링,2500.0,,0.59,,4237.0,50.0,2.0,,,2013-04-30,25442455000.0,10176982
023960,에쓰씨엔지니어링,2475.0,,0.58,,4237.0,50.0,2.02,,,2013-05-31,25188030450.0,10176982
023960,에쓰씨엔지니어링,2165.0,,0.51,,4237.0,50.0,2.31,,,2013-06-28,22033166030.0,10176982
023960,에쓰씨엔지니어링,2600.0,,0.61,,4237.0,50.0,1.92,,,2013-07-31,26460153200.0,10176982
023960,에쓰씨엔지니어링,2575.0,,0.61,,4237.0,50.0,1.94,,,2013-08-30,26205728650.0,10176982
023960,에쓰씨엔지니어링,2155.0,,0.51,,4237.0,50.0,2.32,,,2013-09-30,21931396210.0,10176982
023960,에쓰씨엔지니어링,1940.0,,0.46,,4237.0,50.0,2.58,,,2013-10-31,19743345080.0,10176982
023960,에쓰씨엔지니어링,1815.0,,0.43,,4237.0,50.0,2.75,,,2013-11-29,18471222330.0,10176982
023960,에쓰씨엔지니어링,,,,,,,,,,2013-12-31,,10176982
023960,에쓰씨엔지니어링,,,,,,,,,,2014-01-31,,10176982
023960,에쓰씨엔지니어링,1550.0,,0.37,,4237.0,50.0,3.23,,,2014-02-28,15774322100.0,10176982
023960,에쓰씨엔지니어링,1665.0,,0.39,,4237.0,50.0,3.0,,,2014-03-31,16944675030.0,10176982
023960,에쓰씨엔지니어링,1830.0,,0.59,,3082.0,50.0,2.73,,,2014-04-30,18623877060.0,10176982
023960,에쓰씨엔지니어링,1900.0,,0.62,,3082.0,50.0,2.63,,,2014-05-30,19336265800.0,10176982
023960,에쓰씨엔지니어링,1830.0,,0.59,,3082.0,50.0,2.73,,,2014-06-30,18623877060.0,10176982
023960,에쓰씨엔지니어링,1810.0,,0.59,,3082.0,50.0,2.76,,,2014-07-31,18420337420.0,10176982
023960,에쓰씨엔지니어링,1750.0,,0.57,,3082.0,50.0,2.86,,,2014-08-29,17809718500.0,10176982
023960,에쓰씨엔지니어링,1625.0,,0.53,,3082.0,50.0,3.08,,,2014-09-30,16537595750.0,10176982
023960,에쓰씨엔지니어링,1690.0,,0.55,,3082.0,50.0,2.96,,,2014-10-31,17199099580.0,10176982
023960,에쓰씨엔지니어링,1725.0,,0.56,,3082.0,50.0,2.9,,,2014-11-28,17555293950.0,10176982
023960,에쓰씨엔지니어링,,,,,,,,,,2014-12-31,,10176982
023960,에쓰씨엔지니어링,1780.0,,0.58,,3082.0,50.0,2.81,,,2015-01-30,18115027960.0,10176982
023960,에쓰씨엔지니어링,1740.0,,0.56,,3082.0,50.0,2.87,,,2015-02-27,17707948680.0,10176982
023960,에쓰씨엔지니어링,2975.0,,0.97,,3082.0,50.0,1.68,,,2015-03-31,30276521450.0,10176982
023960,에쓰씨엔지니어링,2970.0,,0.96,,3082.0,50.0,1.68,,,2015-04-30,30225636540.0,10176982
023960,에쓰씨엔지니어링,3615.0,,3.12,,1157.0,0.0,0.0,,,2015-05-29,36789789930.0,10176982
023960,에쓰씨엔지니어링,8900.0,,7.69,,1157.0,0.0,0.0,,,2015-06-30,90575139800.0,10176982
023960,에쓰씨엔지니어링,6780.0,,5.86,,1157.0,0.0,0.0,,,2015-07-31,68999937960.0,10176982
023960,에쓰씨엔지니어링,5820.0,,5.03,,1157.0,0.0,0.0,,,2015-08-31,59230035240.0,10176982
023960,에쓰씨엔지니어링,6840.0,,5.91,,1157.0,0.0,0.0,,,2015-09-30,69610556880.0,10176982
023960,에쓰씨엔지니어링,6080.0,,5.25,,1157.0,0.0,0.0,,,2015-10-30,61876050560.0,10176982
023960,에쓰씨엔지니어링,5300.0,,4.58,,1157.0,0.0,0.0,,,2015-11-30,53938004600.0,10176982
023960,에쓰씨엔지니어링,,,,,,,,,,2015-12-31,,10176982
023960,에쓰씨엔지니어링,5100.0,,4.41,,1157.0,0.0,0.0,,,2016-01-29,51902608200.0,10176982
023960,에쓰씨엔지니어링,5240.0,,4.53,,1157.0,0.0,0.0,,,2016-02-29,53327385680.0,10176982
023960,에쓰씨엔지니어링,4770.0,,4.12,,1157.0,0.0,0.0,,,2016-03-31,48544204140.0,10176982
023960,에쓰씨엔지니어링,4650.0,,4.02,,1157.0,0.0,0.0,,,2016-04-29,47322966300.0,10176982
023960,에쓰씨엔지니어링,4225.0,18.95,2.1,223.0,2008.0,0.0,0.0,,,2016-05-31,42997748950.0,10176982
023960,에쓰씨엔지니어링,3940.0,17.67,1.96,223.0,2008.0,0.0,0.0,,,2016-06-30,40097309080.0,10176982
023960,에쓰씨엔지니어링,3945.0,17.69,1.96,223.0,2008.0,0.0,0.0,,,2016-07-29,40148193990.0,10176982
023960,에쓰씨엔지니어링,3425.0,15.36,1.71,223.0,2008.0,0.0,0.0,,,2016-08-31,34856163350.0,10176982
023960,에쓰씨엔지니어링,4135.0,18.54,2.06,223.0,2008.0,0.0,0.0,,,2016-09-30,42081820570.0,10176982
023960,에쓰씨엔지니어링,3305.0,14.82,1.65,223.0,2008.0,0.0,0.0,,,2016-10-31,33634925510.0,10176982
023960,에쓰씨엔지니어링,3340.0,14.98,1.66,223.0,2008.0,0.0,0.0,,,2016-11-30,33991119880.0,10176982
023960,에쓰씨엔지니어링,,,,,,,,,,2016-12-30,,10176982
023960,에쓰씨엔지니어링,3665.0,16.43,1.83,223.0,2008.0,0.0,0.0,,,2017-01-31,37298639030.0,10176982
023960,에쓰씨엔지니어링,3020.0,13.54,1.5,223.0,2008.0,0.0,0.0,,,2017-02-28,30734485640.0,10176982
023960,에쓰씨엔지니어링,2755.0,12.35,1.37,223.0,2008.0,0.0,0.0,,,2017-03-31,28037585410.0,10176982
023960,에쓰씨엔지니어링,3010.0,13.5,1.5,223.0,2008.0,0.0,0.0,,,2017-04-28,30632715820.0,10176982
023960,에쓰씨엔지니어링,3030.0,,1.31,,2308.0,0.0,0.0,,,2017-05-31,30836255460.0,10176982
023960,에쓰씨엔지니어링,3760.0,,1.63,,2308.0,0.0,0.0,,,2017-06-30,38265452320.0,10176982
023960,에쓰씨엔지니어링,4330.0,,1.88,,2308.0,0.0,0.0,,,2017-07-31,44066332060.0,10176982
023960,에쓰씨엔지니어링,5170.0,,2.24,,2308.0,0.0,0.0,,,2017-08-31,53519105860.0,10351858
023960,에쓰씨엔지니어링,4030.0,,1.75,,2308.0,0.0,0.0,,,2017-09-29,44184609690.0,10963923
