symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
33626L,두산퓨얼셀2우B,14450.0,,,,,0.0,0.0,,,2019-10-31,43152035000.0,2986300
33626L,두산퓨얼셀2우B,8310.0,,,,,0.0,0.0,,,2019-11-29,24816153000.0,2986300
33626L,두산퓨얼셀2우B,,,,,,,,,,2019-12-31,,2986300
33626L,두산퓨얼셀2우B,9970.0,,,,,0.0,0.0,,,2020-01-31,29773411000.0,2986300
33626L,두산퓨얼셀2우B,7970.0,,,,,0.0,0.0,,,2020-02-28,23800811000.0,2986300
33626L,두산퓨얼셀2우B,6460.0,,,,,0.0,0.0,,,2020-03-31,19291498000.0,2986300
33626L,두산퓨얼셀2우B,,,,,,,,,,2020-04-30,,2986300
33626L,두산퓨얼셀2우B,12900.0,,,,,0.0,0.0,,,2020-05-29,38523270000.0,2986300
33626L,두산퓨얼셀2우B,20250.0,,,,,0.0,0.0,,,2020-06-30,60472575000.0,2986300
33626L,두산퓨얼셀2우B,22500.0,,,,,0.0,0.0,,,2020-07-31,67191750000.0,2986300
33626L,두산퓨얼셀2우B,19400.0,,,,,0.0,0.0,,,2020-08-31,57934220000.0,2986300
33626L,두산퓨얼셀2우B,,,,,,,,,,2020-09-30,,2986300
33626L,두산퓨얼셀2우B,22900.0,,,,,0.0,0.0,,,2020-10-30,68386270000.0,2986300
33626L,두산퓨얼셀2우B,20450.0,,,,,0.0,0.0,,,2020-11-30,61069835000.0,2986300
33626L,두산퓨얼셀2우B,,,,,,,,,,2020-12-31,,2986300
33626L,두산퓨얼셀2우B,20000.0,,,,,0.0,0.0,,,2021-01-29,59726000000.0,2986300
33626L,두산퓨얼셀2우B,18200.0,,,,,0.0,0.0,,,2021-02-26,54350660000.0,2986300
33626L,두산퓨얼셀2우B,18350.0,,,,,0.0,0.0,,,2021-03-31,54798605000.0,2986300
33626L,두산퓨얼셀2우B,18250.0,,,,,0.0,0.0,,,2021-04-30,54499975000.0,2986300
33626L,두산퓨얼셀2우B,18600.0,,,,,0.0,0.0,,,2021-05-31,55545180000.0,2986300
33626L,두산퓨얼셀2우B,22500.0,,,,,0.0,0.0,,,2021-06-30,67191750000.0,2986300
33626L,두산퓨얼셀2우B,21500.0,,,,,0.0,0.0,,,2021-07-30,64205450000.0,2986300
33626L,두산퓨얼셀2우B,22750.0,,,,,0.0,0.0,,,2021-08-31,67938325000.0,2986300
33626L,두산퓨얼셀2우B,21000.0,,,,,0.0,0.0,,,2021-09-30,62712300000.0,2986300
33626L,두산퓨얼셀2우B,19650.0,,,,,0.0,0.0,,,2021-10-29,58680795000.0,2986300
33626L,두산퓨얼셀2우B,17650.0,,,,,0.0,0.0,,,2021-11-30,52708195000.0,2986300
33626L,두산퓨얼셀2우B,,,,,,,,,,2021-12-31,,2986300
