symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
38380K,LX홀딩스1우,23150.0,,,,,0.0,0.0,,,2021-05-31,33921347750.0,1465285
38380K,LX홀딩스1우,19450.0,,,,,0.0,0.0,,,2021-06-30,28499793250.0,1465285
38380K,LX홀딩스1우,17400.0,,,,,0.0,0.0,,,2021-07-30,25495959000.0,1465285
38380K,LX홀딩스1우,15250.0,,,,,0.0,0.0,,,2021-08-31,22345596250.0,1465285
38380K,LX홀딩스1우,15000.0,,,,,0.0,0.0,,,2021-09-30,21979275000.0,1465285
38380K,LX홀딩스1우,13800.0,,,,,0.0,0.0,,,2021-10-29,20220933000.0,1465285
38380K,LX홀딩스1우,13500.0,,,,,0.0,0.0,,,2021-11-30,19781347500.0,1465285
38380K,LX홀딩스1우,,,,,,,,,,2021-12-31,,1465285
38380K,LX홀딩스1우,,,,,,,,,,2022-01-31,,1465285
38380K,LX홀딩스1우,13800.0,,,,,0.0,0.0,,,2022-02-28,20220933000.0,1465285
38380K,LX홀딩스1우,14150.0,,,,,0.0,0.0,,,2022-03-31,20733782750.0,1465285
38380K,LX홀딩스1우,14600.0,,,,,0.0,0.0,,,2022-04-29,21393161000.0,1465285
38380K,LX홀딩스1우,13950.0,,,,,0.0,0.0,,,2022-05-31,20440725750.0,1465285
38380K,LX홀딩스1우,11950.0,,,,,0.0,0.0,,,2022-06-30,17510155750.0,1465285
38380K,LX홀딩스1우,11950.0,,,,,0.0,0.0,,,2022-07-29,17510155750.0,1465285
38380K,LX홀딩스1우,11650.0,,,,,0.0,0.0,,,2022-08-31,17070570250.0,1465285
38380K,LX홀딩스1우,9990.0,,,,,0.0,0.0,,,2022-09-30,14638197150.0,1465285
38380K,LX홀딩스1우,10400.0,,,,,0.0,0.0,,,2022-10-31,15238964000.0,1465285
38380K,LX홀딩스1우,11950.0,,,,,0.0,0.0,,,2022-11-30,17510155750.0,1465285
38380K,LX홀딩스1우,,,,,,,,,,2022-12-30,,1465285
38380K,LX홀딩스1우,11820.0,,,,,0.0,0.0,,,2023-01-31,17319668700.0,1465285
38380K,LX홀딩스1우,11230.0,,,,,0.0,0.0,,,2023-02-28,16455150550.0,1465285
38380K,LX홀딩스1우,10720.0,,,,,0.0,0.0,,,2023-03-31,15707855200.0,1465285
38380K,LX홀딩스1우,11290.0,,,,,0.0,0.0,,,2023-04-28,16543067650.0,1465285
38380K,LX홀딩스1우,10420.0,,,,,320.0,3.07,,,2023-05-31,15268269700.0,1465285
38380K,LX홀딩스1우,10180.0,,,,,320.0,3.14,,,2023-06-30,14916601300.0,1465285
38380K,LX홀딩스1우,10150.0,,,,,320.0,3.15,,,2023-07-31,14872642750.0,1465285
38380K,LX홀딩스1우,9750.0,,,,,320.0,3.28,,,2023-08-31,14286528750.0,1465285
38380K,LX홀딩스1우,,,,,,,,,,2023-09-29,,1465285
38380K,LX홀딩스1우,9050.0,,,,,320.0,3.54,,,2023-10-31,13260829250.0,1465285
38380K,LX홀딩스1우,9320.0,,,,,320.0,3.43,,,2023-11-30,13656456200.0,1465285
38380K,LX홀딩스1우,,,,,,,,,,2023-12-29,,1465285
38380K,LX홀딩스1우,9340.0,,,,,320.0,3.43,,,2024-01-31,13685761900.0,1465285
38380K,LX홀딩스1우,9170.0,,,,,320.0,3.49,,,2024-02-29,13436663450.0,1465285
38380K,LX홀딩스1우,9100.0,,,,,320.0,3.52,,,2024-03-29,13334093500.0,1465285
38380K,LX홀딩스1우,9020.0,,,,,320.0,3.55,,,2024-04-30,13216870700.0,1465285
38380K,LX홀딩스1우,8840.0,,,,,280.0,3.17,,,2024-05-31,12953119400.0,1465285
38380K,LX홀딩스1우,8840.0,,,,,280.0,3.17,,,2024-06-28,12953119400.0,1465285
38380K,LX홀딩스1우,8900.0,,,,,280.0,3.15,,,2024-07-31,13041036500.0,1465285
38380K,LX홀딩스1우,8850.0,,,,,280.0,3.16,,,2024-08-30,12967772250.0,1465285
38380K,LX홀딩스1우,8750.0,,,,,280.0,3.2,,,2024-09-30,12821243750.0,1465285
38380K,LX홀딩스1우,8520.0,,,,,280.0,3.29,,,2024-10-31,12484228200.0,1465285
38380K,LX홀딩스1우,8170.0,,,,,280.0,3.43,,,2024-11-29,11971378450.0,1465285
38380K,LX홀딩스1우,,,,,,,,,,2024-12-31,,1465285
38380K,LX홀딩스1우,7920.0,,,,,280.0,3.54,,,2025-01-31,11605057200.0,1465285
38380K,LX홀딩스1우,7940.0,,,,,280.0,3.53,,,2025-02-28,11634362900.0,1465285
38380K,LX홀딩스1우,7950.0,,,,,280.0,3.52,,,2025-03-31,11649015750.0,1465285
38380K,LX홀딩스1우,8090.0,,,,,280.0,3.46,,,2025-04-30,11854155650.0,1465285
38380K,LX홀딩스1우,8910.0,,,,,300.0,3.37,,,2025-05-30,13055689350.0,1465285
38380K,LX홀딩스1우,9270.0,,,,,300.0,3.24,,,2025-06-30,13583191950.0,1465285
38380K,LX홀딩스1우,9000.0,,,,,300.0,3.33,,,2025-07-31,13187565000.0,1465285
38380K,LX홀딩스1우,8600.0,,,,,300.0,3.49,,,2025-08-29,12601451000.0,1465285
38380K,LX홀딩스1우,8600.0,,,,,300.0,3.49,,,2025-09-30,12601451000.0,1465285
38380K,LX홀딩스1우,8530.0,,,,,300.0,3.52,,,2025-10-31,12498881050.0,1465285
38380K,LX홀딩스1우,8650.0,,,,,300.0,3.47,,,2025-11-28,12674715250.0,1465285
