symbol,industry,industry_code
000020,제약,261
000040,자동차,273
000050,"섬유,의류,신발,호화품",274
000070,화학,272
000080,음료,309
000087,음료,309
000100,제약,261
000105,제약,261
000120,항공화물운송과물류,326
000140,음료,309
000145,음료,309
000150,복합기업,276
000155,복합기업,276
000157,복합기업,276
000180,종이와목재,318
000210,화학,272
000215,화학,272
000220,제약,261
000225,제약,261
000227,제약,261
000230,제약,261
000240,자동차부품,270
000270,자동차,273
000300,자동차부품,270
000320,건축자재,289
000325,건축자재,289
000370,손해보험,315
000390,건축자재,289
000400,손해보험,315
000430,자동차부품,270
000480,비철금속,322
000490,기계,299
000500,전기장비,306
000520,제약,261
000540,손해보험,315
000545,손해보험,315
000590,철강,304
000640,제약,261
000650,도로와철도운송,329
000660,반도체와반도체장비,278
000670,핸드셋,292
000680,증권,321
000700,항공화물운송과물류,326
000720,건설,279
000725,건설,279
000760,화학,272
000810,손해보험,315
000815,손해보험,315
000850,기계,299
000860,건축자재,289
000880,복합기업,276
00088K,복합기업,276
000890,음료,309
000910,건축자재,289
000950,"섬유,의류,신발,호화품",274
000970,철강,304
000990,반도체와반도체장비,278
001020,종이와목재,318
001040,복합기업,276
001045,복합기업,276
00104K,복합기업,276
001060,제약,261
001065,제약,261
001067,제약,261
001070,"섬유,의류,신발,호화품",274
001080,철강,304
001120,무역회사와판매업체,334
001130,식품,268
001140,항공화물운송과물류,326
001200,증권,321
001210,디스플레이장비및부품,269
001230,철강,304
001250,무역회사와판매업체,334
001260,건설,279
001270,증권,321
001275,증권,321
001290,증권,321
001340,화학,272
001360,제약,261
001380,자동차부품,270
001390,자동차,273
001420,자동차부품,270
001430,철강,304
001440,전기장비,306
001450,손해보험,315
001460,"섬유,의류,신발,호화품",274
001465,"섬유,의류,신발,호화품",274
001470,건설,279
001500,증권,321
001510,증권,321
001515,증권,321
001520,건축자재,289
001525,건축자재,289
001527,건축자재,289
001530,"섬유,의류,신발,호화품",274
001550,화학,272
001560,비철금속,322
001570,화학,272
001620,자동차부품,270
001630,제약,261
001680,식품,268
001685,식품,268
001720,증권,321
001740,복합기업,276
001750,증권,321
001755,증권,321
001770,철강,304
001780,비철금속,322
001790,식품,268
001795,식품,268
001800,식품,268
001820,전기제품,283
001940,철강,304
002020,복합기업,276
002025,복합기업,276
002030,건축자재,289
002070,"섬유,의류,신발,호화품",274
002100,화학,272
002140,식품,268
002150,건설,279
002170,"섬유,의류,신발,호화품",274
002200,포장재,311
002210,제약,261
002220,철강,304
002240,철강,304
002310,포장재,311
002320,항공화물운송과물류,326
002350,자동차부품,270
002355,자동차부품,270
002360,화학,272
002380,건축자재,289
002390,제약,261
002410,건설,279
002420,전문소매,328
002450,레저용장비와제품,271
002460,건설,279
002600,식품,268
002620,제약,261
002630,생물공학,286
002690,철강,304
002700,가정용기기와용품,298
002710,철강,304
002720,제약,261
002760,식품,268
002780,건설,279
002785,건설,279
002787,건설,279
002790,화장품,266
002795,화장품,266
00279K,화장품,266
002810,화학,272
002820,종이와목재,318
002840,화학,272
002870,포장재,311
002880,자동차부품,270
002900,기계,299
002920,자동차부품,270
002960,화학,272
002990,건설,279
002995,건설,279
003000,제약,261
003010,기계,299
003030,철강,304
003060,제약,261
003070,건설,279
003075,건설,279
003080,화학,272
003090,제약,261
0030R0,부동산,280
003120,제약,261
003160,반도체와반도체장비,278
003200,"섬유,의류,신발,호화품",274
003220,제약,261
003230,식품,268
003240,화학,272
003280,해운사,323
003300,건축자재,289
003350,화장품,266
003460,증권,321
003465,증권,321
003470,증권,321
003475,증권,321
003480,가스유틸리티,312
003490,항공사,305
003495,항공사,305
003520,제약,261
003530,증권,321
003535,증권,321
003540,증권,321
003545,증권,321
003547,증권,321
003550,복합기업,276
003555,복합기업,276
003560,방송과엔터테인먼트,285
003570,자동차부품,270
003580,판매업체,265
003610,"섬유,의류,신발,호화품",274
003620,자동차,273
003650,화학,272
003670,화학,272
003680,식품,268
003690,손해보험,315
003720,화학,272
003780,화학,272
003830,화학,272
003850,제약,261
003920,식품,268
003925,식품,268
003960,식품,268
004000,화학,272
004020,철강,304
004060,"섬유,의류,신발,호화품",274
004080,건강관리장비와용품,281
004090,화학,272
004100,자동차부품,270
004105,자동차부품,270
004140,항공화물운송과물류,326
004150,복합기업,276
004170,백화점과일반상점,264
004250,포장재,311
004255,포장재,311
004270,전자장비와기기,282
004310,제약,261
004360,항공화물운송과물류,326
004365,항공화물운송과물류,326
004370,식품,268
004380,기계,299
004410,식품,268
004415,식품,268
004430,화학,272
004440,건축자재,289
004450,포장재,311
004490,자동차부품,270
004540,종이와목재,318
004545,종이와목재,318
004560,비철금속,322
004690,가스유틸리티,312
004700,"섬유,의류,신발,호화품",274
004710,전자장비와기기,282
004720,제약,261
004770,전자장비와기기,282
004800,복합기업,276
004830,"섬유,의류,신발,호화품",274
004835,"섬유,의류,신발,호화품",274
004840,자동차부품,270
004870,건축자재,289
004890,철강,304
004910,건축자재,289
004920,컴퓨터와주변기기,293
004960,건설,279
004970,식품,268
004980,건축자재,289
004985,건축자재,289
004990,복합기업,276
00499K,복합기업,276
005010,철강,304
005030,자동차부품,270
005070,화학,272
005090,에너지장비및서비스,295
005110,부동산,280
005180,식품,268
005250,제약,261
005257,제약,261
005300,음료,309
005305,음료,309
005320,"섬유,의류,신발,호화품",274
005360,문구류,332
005380,자동차,273
005385,자동차,273
005387,자동차,273
005389,자동차,273
005420,화학,272
005430,운송인프라,296
005440,복합기업,276
005490,철강,304
005500,제약,261
005610,식품,268
005680,전기제품,283
005690,화학,272
005720,자동차부품,270
005725,자동차부품,270
005740,식품,268
005745,식품,268
005750,건축제품,320
005800,"섬유,의류,신발,호화품",274
005810,비철금속,322
005820,포장재,311
005830,손해보험,315
005850,자동차부품,270
005870,우주항공과국방,284
005880,해운사,323
005930,반도체와반도체장비,278
005935,반도체와반도체장비,278
005940,증권,321
005945,증권,321
005950,화학,272
005960,건설,279
005965,건설,279
006040,식품,268
006060,"섬유,의류,신발,호화품",274
006090,식품,268
006110,비철금속,322
006120,석유와가스,313
006125,석유와가스,313
006200,반도체와반도체장비,278
006220,은행,301
006260,전기장비,306
006280,제약,261
006340,전기장비,306
006345,전기장비,306
006360,건설,279
006370,백화점과일반상점,264
006380,화학,272
006390,Unknown,-1
006400,전기제품,283
006405,전기제품,283
006490,무선통신서비스,333
006570,건축제품,320
006650,화학,272
006660,자동차부품,270
006740,종이와목재,318
006800,증권,321
006805,증권,321
00680K,증권,321
006840,화학,272
006880,식품과기본식료품소매,302
006890,화학,272
006980,식품,268
007070,백화점과일반상점,264
007110,건축자재,289
007120,IT서비스,267
007160,식품,268
007210,건축자재,289
007280,철강,304
007310,식품,268
007340,자동차부품,270
007460,제약,261
007540,식품,268
007570,제약,261
007575,제약,261
007590,화학,272
007610,전기장비,306
007660,전자장비와기기,282
007690,화학,272
007700,"섬유,의류,신발,호화품",274
007810,전자장비와기기,282
007815,전자장비와기기,282
00781K,전자장비와기기,282
007860,자동차부품,270
007980,"섬유,의류,신발,호화품",274
008040,식품,268
008060,전자장비와기기,282
00806K,전자장비와기기,282
008110,전자장비와기기,282
008250,건축자재,289
008260,건축자재,289
008350,비철금속,322
008355,비철금속,322
008420,철강,304
008490,제약,261
008500,자동차부품,270
008600,"섬유,의류,신발,호화품",274
008700,전자제품,307
008730,포장재,311
008770,백화점과일반상점,264
008775,백화점과일반상점,264
008870,포장재,311
008930,제약,261
008970,철강,304
009070,항공화물운송과물류,326
009140,전자제품,307
009150,전자장비와기기,282
009155,전자장비와기기,282
009160,비철금속,322
009180,항공화물운송과물류,326
009190,철강,304
009200,종이와목재,318
009240,가구,303
009270,"섬유,의류,신발,호화품",274
009290,제약,261
009310,디스플레이장비및부품,269
009320,자동차부품,270
009410,건설,279
009415,건설,279
009420,제약,261
009440,상업서비스와공급품,324
009450,가정용기기와용품,298
009460,포장재,311
009470,전기제품,283
009540,조선,291
009580,종이와목재,318
009680,자동차부품,270
009770,가정용품,297
009810,판매업체,265
009830,에너지장비및서비스,295
009835,에너지장비및서비스,295
009900,자동차부품,270
009970,"섬유,의류,신발,호화품",274
010040,비철금속,322
010060,화학,272
010100,자동차부품,270
010120,전기장비,306
010130,비철금속,322
010140,조선,291
010400,건설,279
010580,자동차부품,270
010600,해운사,323
010620,조선,291
010640,화학,272
010660,기계,299
010690,자동차부품,270
010770,자동차부품,270
010780,건설,279
010820,우주항공과국방,284
010950,석유와가스,313
010955,석유와가스,313
010960,건설,279
011000,생물공학,286
011070,전자장비와기기,282
011090,가구,303
011150,식품,268
011155,식품,268
011170,화학,272
011200,해운사,323
011210,자동차부품,270
011230,전자장비와기기,282
011280,포장재,311
011300,"섬유,의류,신발,호화품",274
011330,"섬유,의류,신발,호화품",274
011390,건축자재,289
011420,레저용장비와제품,271
011500,화학,272
011690,전자장비와기기,282
011700,기계,299
011760,무역회사와판매업체,334
011780,화학,272
011785,화학,272
011790,화학,272
011810,무역회사와판매업체,334
011930,반도체와반도체장비,278
012030,IT서비스,267
012160,철강,304
012170,방송과엔터테인먼트,285
012200,자동차부품,270
012205,자동차부품,270
012280,자동차부품,270
012320,비철금속,322
012330,자동차부품,270
012450,우주항공과국방,284
012510,소프트웨어,287
012610,화학,272
012630,건설,279
012690,가정용품,297
012750,상업서비스와공급품,324
012800,비철금속,322
013000,판매업체,265
013360,건설,279
013520,자동차부품,270
013570,기계,299
013580,건설,279
013700,건설,279
013870,자동차부품,270
013890,가구,303
014130,항공화물운송과물류,326
014160,포장재,311
014280,건축제품,320
014285,건축제품,320
014440,화학,272
014530,석유와가스,313
014580,비철금속,322
014680,화학,272
014710,식품,268
014790,건설,279
014820,포장재,311
014825,포장재,311
014830,화학,272
014910,전기제품,283
014915,전기제품,283
014990,"섬유,의류,신발,호화품",274
015020,부동산,280
015230,기계,299
015260,전자장비와기기,282
015360,가스유틸리티,312
015590,기계,299
015760,전기유틸리티,325
015860,전기장비,306
015890,비철금속,322
016090,"섬유,의류,신발,호화품",274
016360,증권,321
016380,철강,304
016450,"섬유,의류,신발,호화품",274
016580,제약,261
016590,포장재,311
016610,증권,321
016710,가스유틸리티,312
016740,자동차부품,270
016800,가구,303
016880,출판,314
017040,전기장비,306
017180,제약,261
017370,자동차부품,270
017390,가스유틸리티,312
017550,기계,299
017670,무선통신서비스,333
017800,기계,299
017810,식품,268
017860,화학,272
017900,전자장비와기기,282
017940,가스유틸리티,312
017960,조선,291
018250,화장품,266
018260,IT서비스,267
018470,비철금속,322
018500,자동차부품,270
018670,가스유틸리티,312
018880,자동차부품,270
019170,제약,261
019175,제약,261
019180,자동차부품,270
019440,철강,304
019490,통신장비,294
019680,교육서비스,290
019685,교육서비스,290
020000,"섬유,의류,신발,호화품",274
020120,양방향미디어와서비스,300
020150,전자장비와기기,282
020560,항공사,305
020760,디스플레이패널,327
021050,비철금속,322
021240,가정용기기와용품,298
021820,자동차부품,270
022100,IT서비스,267
023000,자동차부품,270
023150,음료,309
023350,건설,279
023450,화학,272
023530,백화점과일반상점,264
023590,증권,321
023800,자동차부품,270
023810,자동차부품,270
023960,건설,279
024070,화학,272
024090,비철금속,322
024110,은행,301
024720,화장품,266
024890,"섬유,의류,신발,호화품",274
024900,자동차부품,270
025000,화학,272
025530,자동차부품,270
025540,자동차부품,270
025560,반도체와반도체장비,278
025620,화장품,266
025750,건축자재,289
025820,비철금속,322
025860,화학,272
025890,철강,304
026890,창업투자,277
026940,철강,304
026960,식품,268
027410,화학,272
027740,식품,268
027970,종이와목재,318
028050,건설,279
028100,건설,279
028260,복합기업,276
02826K,복합기업,276
028670,해운사,323
029460,반도체와반도체장비,278
029530,사무용전자제품,338
029780,카드,337
030000,광고,310
030190,상업서비스와공급품,324
030200,다각화된통신서비스,336
030210,증권,321
030610,증권,321
030720,식품,268
031210,손해보험,315
031430,"섬유,의류,신발,호화품",274
031440,"호텔,레스토랑,레저",317
031820,IT서비스,267
032350,"호텔,레스토랑,레저",317
032560,비철금속,322
032640,무선통신서비스,333
032830,생명보험,330
033180,전기제품,283
033240,통신장비,294
033250,자동차부품,270
033270,제약,261
033530,자동차부품,270
033780,담배,275
033920,음료,309
034020,기계,299
034120,방송과엔터테인먼트,285
034220,디스플레이패널,327
034230,"호텔,레스토랑,레저",317
034310,IT서비스,267
034590,가스유틸리티,312
034730,석유와가스,313
03473K,석유와가스,313
034830,부동산,280
035000,광고,310
035150,"섬유,의류,신발,호화품",274
035250,"호텔,레스토랑,레저",317
035420,양방향미디어와서비스,300
035510,IT서비스,267
035720,양방향미디어와서비스,300
036420,방송과엔터테인먼트,285
036460,가스유틸리티,312
036530,자동차부품,270
036570,게임엔터테인먼트,263
036580,식품,268
037270,방송과엔터테인먼트,285
037560,방송과엔터테인먼트,285
037710,백화점과일반상점,264
039130,"호텔,레스토랑,레저",317
039490,증권,321
039570,건설,279
041650,자동차부품,270
042660,조선,291
042670,기계,299
042700,반도체와반도체장비,278
044380,컴퓨터와주변기기,293
044450,해운사,323
044820,제약,261
047040,건설,279
047050,무역회사와판매업체,334
047400,자동차부품,270
047810,우주항공과국방,284
049800,기계,299
051600,전기유틸리티,325
051630,화학,272
051900,화장품,266
051905,화장품,266
051910,화학,272
051915,화학,272
052690,전기유틸리티,325
053210,방송과엔터테인먼트,285
053690,건설,279
055490,전자장비와기기,282
055550,은행,301
057050,인터넷과카탈로그소매,308
058430,비철금속,322
058650,철강,304
058730,건축자재,289
058850,상업서비스와공급품,324
058860,상업서비스와공급품,324
060980,자동차부품,270
062040,전기장비,306
063160,제약,261
064350,기계,299
064400,IT서비스,267
064960,자동차부품,270
066570,전자제품,307
066575,전자제품,307
066970,전기제품,283
067830,백화점과일반상점,264
068270,제약,261
068290,출판,314
069260,화학,272
069460,비철금속,322
069620,제약,261
069640,"섬유,의류,신발,호화품",274
069730,철강,304
069960,백화점과일반상점,264
070960,"호텔,레스토랑,레저",317
071050,증권,321
071055,증권,321
071090,철강,304
071320,복합유틸리티,331
071840,전문소매,328
071950,가구,303
071970,조선,291
072130,IT서비스,267
072710,식품,268
073240,자동차부품,270
074610,기계,299
075180,자동차부품,270
075580,조선,291
077500,반도체와반도체장비,278
077970,조선,291
078000,소프트웨어,287
078520,화장품,266
078930,석유와가스,313
078935,석유와가스,313
079160,방송과엔터테인먼트,285
079430,가구,303
079550,우주항공과국방,284
079900,기계,299
079980,"섬유,의류,신발,호화품",274
081000,비철금속,322
081660,"섬유,의류,신발,호화품",274
082640,생명보험,330
082740,조선,291
083420,화학,272
084010,철강,304
084670,도로와철도운송,329
084680,"섬유,의류,신발,호화품",274
084690,식품,268
084695,식품,268
084870,"섬유,의류,신발,호화품",274
085310,조선,291
085620,생명보험,330
086280,항공화물운송과물류,326
086790,은행,301
088260,부동산,280
088350,생명보험,330
088790,"섬유,의류,신발,호화품",274
088980,운송인프라,296
089470,자동차부품,270
089590,항공사,305
089860,도로와철도운송,329
090080,자동차부품,270
090350,건축자재,289
090355,건축자재,289
090370,상업서비스와공급품,324
090430,화장품,266
090435,화장품,266
090460,전자장비와기기,282
091810,항공사,305
092200,자동차부품,270
092220,반도체와반도체장비,278
092230,화학,272
092440,기계,299
092780,자동차부품,270
092790,철강,304
093050,"섬유,의류,신발,호화품",274
093240,"섬유,의류,신발,호화품",274
093370,화학,272
094280,상업서비스와공급품,324
094800,부동산,280
095570,도로와철도운송,329
095720,교육서비스,290
096760,제약,261
096770,석유와가스,313
096775,석유와가스,313
097230,건설,279
097520,핸드셋,292
097950,식품,268
097955,식품,268
100090,에너지장비및서비스,295
100220,교육서비스,290
100250,화학,272
100840,에너지장비및서비스,295
101140,전자장비와기기,282
101530,식품,268
102260,화학,272
102280,Unknown,-1
102460,제약,261
103140,비철금속,322
103590,전기장비,306
104700,철강,304
105560,은행,301
105630,"섬유,의류,신발,호화품",274
105840,기계,299
107590,화학,272
108320,디스플레이장비및부품,269
108670,건축자재,289
108675,건축자재,289
109070,해운사,323
111110,"섬유,의류,신발,호화품",274
111380,"섬유,의류,신발,호화품",274
111770,"섬유,의류,신발,호화품",274
112610,에너지장비및서비스,295
114090,"호텔,레스토랑,레저",317
117580,가스유틸리티,312
118000,제약,261
119650,상업서비스와공급품,324
120030,철강,304
120110,화학,272
120115,화학,272
122900,상업서비스와공급품,324
123690,화장품,266
123700,자동차부품,270
123890,부동산,280
126560,화장품,266
126720,에너지장비및서비스,295
128820,석유와가스,313
128940,제약,261
129260,해운사,323
130660,전기유틸리티,325
133820,철강,304
134380,화학,272
134790,가구,303
136490,식품,268
137310,건강관리장비와용품,281
138040,증권,321
138490,화학,272
138930,은행,301
139130,은행,301
139480,백화점과일반상점,264
139990,철강,304
140910,부동산,280
143210,자동차부품,270
145210,자동차부품,270
145270,부동산,280
145720,건강관리장비와용품,281
145990,식품,268
145995,식품,268
152550,석유와가스,313
155660,비철금속,322
161000,화학,272
161390,자동차부품,270
161890,화장품,266
163560,자동차부품,270
170900,제약,261
175330,은행,301
178920,화학,272
180640,항공사,305
18064K,항공사,305
181710,IT서비스,267
183190,건축자재,289
185750,제약,261
192080,게임엔터테인먼트,263
192400,가정용기기와용품,298
192650,핸드셋,292
192820,화장품,266
194370,"섬유,의류,신발,호화품",274
195870,반도체와반도체장비,278
200880,자동차부품,270
204210,부동산,280
204320,자동차부품,270
207940,제약,261
210540,기계,299
210980,부동산,280
213500,종이와목재,318
214320,광고,310
214330,자동차부품,270
214390,제약,261
214420,화장품,266
226320,화장품,266
